,ProQuest ID,Title,Source,Subject,Leaning,Hero,Villain,Victim,Focus,Conflict,Story,Narrative,Link
1153,3126762870,"Kristin Tilley, the Ambassador for Climate Change, racks up $257K travel bill",The Daily Telegraph,Travel; Government waste; Emissions; Carbon; Climate change,right,NONE,GOVERNMENTS_POLITICIANS_POLIT.ORGS,NONE,VILLAIN,PREVENT_RESOLUTION,INDIVIDUALISTIC,DEBATE_AND_SCAM,"Author: Silmalis, Linda"
1168,3128275302,Labor’s pre-election green washing is all about deception,The Australian,Polls & surveys; Cost of living; Emissions; Energy transition; Voters; Climate change; Prime ministers; Coal; Energy policy,right center,GOVERNMENTS_POLITICIANS_POLIT.ORGS,GOVERNMENTS_POLITICIANS_POLIT.ORGS,GENERAL_PUBLIC,VILLAIN,PREVENT_RESOLUTION,INDIVIDUALISTIC,DEBATE_AND_SCAM,"Author: Credlin, Peta"
1191,3128627701,How to defeat climate denialism,The Canberra Times,Higher education; Colleges & universities; Climate change; Denialism,left center,SCIENCE_EXPERTS_SCI.REPORTS,GOVERNMENTS_POLITICIANS_POLIT.ORGS,GENERAL_PUBLIC,HERO,FUEL_RESOLUTION,HIERARCHICAL,OFFICIALS_DECLARE_EMERGENCY,https://www.proquest.com/newspapers/how-defeat-climate-denialism/docview/3128627701/se-2?accountid=12372
1220,3129032278,Ex-Green backs nuclear power,The Advertiser,Nuclear energy; Climate change,right,INDUSTRY_EMISSIONS,CLIMATE_CHANGE,NONE,HERO,PREVENT_RESOLUTION,INDIVIDUALISTIC,FOSSIL_FUEL_SOLUTIOINISM,https://www.proquest.com/newspapers/ex-green-backs-nuclear-power/docview/3129032278/se-2?accountid=12372
1227,3131561870,Nuke energy could lead to Labor meltdown,The Advertiser,Nuclear energy; Mines; Radioactive wastes,right,INDUSTRY_EMISSIONS,GOVERNMENTS_POLITICIANS_POLIT.ORGS,GENERAL_PUBLIC,VILLAIN,PREVENT_RESOLUTION,INDIVIDUALISTIC,DEBATE_AND_SCAM,https://www.proquest.com/newspapers/nuke-energy-could-lead-labor-meltdown/docview/3131561870/se-2?accountid=12372
1257,3132795964,"Her hometown was hit by Christmas floods, now Tegan wants a global response",The Examiner,Climate change,right center,ENV.ORGS_ACTIVISTS,GOVERNMENTS_POLITICIANS_POLIT.ORGS,GENERAL_PUBLIC,HERO,FUEL_RESOLUTION,EGALITARIAN,YOURE_DESTROYING_OUR_FUTURE,"Author: Salter, Saree"
1276,3134232713,Vikki Campion: Australia was a ‘sunburnt country’ long before we blamed climate change,The Daily Telegraph,Energy industry; Climate change,right,GOVERNMENTS_POLITICIANS_POLIT.ORGS,GOVERNMENTS_POLITICIANS_POLIT.ORGS,GENERAL_PUBLIC,VILLAIN,PREVENT_RESOLUTION,INDIVIDUALISTIC,DEBATE_AND_SCAM,"Author: Campion, Vikki"
1307,3134805675,Climate cost estimated at $7 trillion,Newcastle Herald,Standard of living; Gross Domestic Product--GDP; Disaster recovery; Central banks; Emission standards; Economic growth; Climate change,left center,GREEN_TECHNOLOGY_INNOVATION,CLIMATE_CHANGE,GENERAL_PUBLIC,VICTIM,FUEL_RESOLUTION,HIERARCHICAL,12_YEARS,https://www.proquest.com/newspapers/climate-cost-estimated-at-7-trillion/docview/3134805675/se-2?accountid=12372
1325,3141617383,GAS ‘THE HERO’ OF OUR 24/7 WORLD,Herald Sun,Oil reserves; State government; Manufacturing; Alternative energy; Fossil fuels; Prosperity; Coal; Natural gas reserves; Renewable resources,right center,INDUSTRY_EMISSIONS,ENV.ORGS_ACTIVISTS,INDUSTRY_EMISSIONS,HERO,PREVENT_RESOLUTION,INDIVIDUALISTIC,FOSSIL_FUEL_SOLUTIOINISM,https://www.proquest.com/newspapers/gas-hero-our-24-7-world/docview/3141617383/se-2?accountid=12372
1362,3143011687,Use grid and go nuclear,The Advertiser,Infrastructure; Renewable resources,right,INDUSTRY_EMISSIONS,GREEN_TECHNOLOGY_INNOVATION,NONE,HERO,PREVENT_RESOLUTION,INDIVIDUALISTIC,FOSSIL_FUEL_SOLUTIOINISM,https://www.proquest.com/newspapers/use-grid-go-nuclear/docview/3143011687/se-2?accountid=12372
1376,3143011928,Not-so glamorous gas can have big impact on net-zero,The Advertiser,Manufacturers; Emissions control; Gases; Biogas,right,GREEN_TECHNOLOGY_INNOVATION,NONE,NONE,HERO,FUEL_RESOLUTION,EGALITARIAN,TECHNOLOGICAL_OPTIMISM,https://www.proquest.com/newspapers/not-so-glamorous-gas-can-have-big-impact-on-net/docview/3143011928/se-2?accountid=12372
1386,3058278049,Enormous demand' for tradies predicted,Newcastle Herald,Energy; Apprenticeship; Training; Clean technology,left center,GOVERNMENTS_POLITICIANS_POLIT.ORGS,NONE,NONE,HERO,FUEL_RESOLUTION,HIERARCHICAL,OFFICIALS_DECLARE_EMERGENCY,"Author: Parris, Michael"
1394,2957149575,"Expensive, improbable nuclear is casting shade on wind, solar",Sydney Morning Herald,Generations; Nuclear energy; Earthquakes; Age groups; Nuclear reactors; Focus groups; Climate change; Radioactive wastes; Nuclear accidents & safety,left center,NONE,INDUSTRY_EMISSIONS,GREEN_TECHNOLOGY_INNOVATION,VILLAIN,PREVENT_CONFLICT,HIERARCHICAL,ANTI-FOSSIL,https://www.proquest.com/newspapers/expensive-improbable-nuclear-is-casting-shade-on/docview/2957149575/se-2?accountid=12372
1432,3113294040,"Nature positive? First, let's stop being negative",Sydney Morning Herald,Native species; Environmental impact; Councils; Voters; Subsidies; Climate change; Charitable foundations; Biodiversity,left center,NONE,GOVERNMENTS_POLITICIANS_POLIT.ORGS,ANIMALS_NATURE_ENVIRONMENT,VILLAIN,PREVENT_CONFLICT,HIERARCHICAL,12_YEARS,https://www.proquest.com/newspapers/nature-positive-first-lets-stop-being-negative/docview/3113294040/se-2?accountid=12372
1465,3096656294,Reef damage hits national economy,Sydney Morning Herald,Climate change; Marine conservation,left center,SCIENCE_EXPERTS_SCI.REPORTS,INDUSTRY_EMISSIONS,ANIMALS_NATURE_ENVIRONMENT,VICTIM,PREVENT_CONFLICT,HIERARCHICAL,ENDANGERED_SPECIES,https://www.proquest.com/newspapers/reef-damage-hits-national-economy/docview/3096656294/se-2?accountid=12372
1479,3037030688,Shifting from 'dig and ship' ec onomy to 'mine and make',Newcastle Herald,Hydrogen; Strategic materials; Supply chains; Federal budget; Raw materials; Manufacturing; Alternative energy; Clean technology; Lithium; Renewable resources,left center,GENERAL_PUBLIC,CLIMATE_CHANGE,NONE,HERO,FUEL_RESOLUTION,EGALITARIAN,WIN_WIN,https://www.proquest.com/newspapers/shifting-dig-ship-economy-mine-make/docview/3037030688/se-2?accountid=12372
1494,3068464480,Spectre of Abbott looming large,The Canberra Times,Emissions control; Energy transition; Paris Agreement; Climate policy; Voters; Political leadership; Coalition governments; Climate change; Energy policy,left center,NONE,GOVERNMENTS_POLITICIANS_POLIT.ORGS,GOVERNMENTS_POLITICIANS_POLIT.ORGS,VILLAIN,PREVENT_CONFLICT,HIERARCHICAL,12_YEARS,https://www.proquest.com/newspapers/spectre-abbott-looming-large/docview/3068464480/se-2?accountid=12372
1516,2938250007,Albanese doesn't want to risk a ute tax election,The Age,Emission standards; Emissions; Carbon; Tax elections,left center,LEGISLATION_POLICIES_RESPONSES,GOVERNMENTS_POLITICIANS_POLIT.ORGS,NONE,VILLAIN,PREVENT_CONFLICT,HIERARCHICAL,12_YEARS,https://www.proquest.com/newspapers/albanese-doesnt-want-risk-ute-tax-election/docview/2938250007/se-2?accountid=12372
1531,3130007117,The one morsel of hope from COP,The Canberra Times,Fossil fuels; Civil society; Climate change,left center,GENERAL_PUBLIC,INDUSTRY_EMISSIONS,CLIMATE_CHANGE,HERO,FUEL_RESOLUTION,EGALITARIAN,WIN_WIN,https://www.proquest.com/newspapers/one-morsel-hope-cop/docview/3130007117/se-2?accountid=12372
1549,3066324137,Reviving climate wars puts us all at risk:   The Age's View,The Age,Global warming; Climate policy; Emission standards; Emissions; Climate change,left center,NONE,GOVERNMENTS_POLITICIANS_POLIT.ORGS,GENERAL_PUBLIC,VILLAIN,PREVENT_CONFLICT,HIERARCHICAL,12_YEARS,https://www.proquest.com/newspapers/reviving-climate-wars-puts-us-all-at-risk/docview/3066324137/se-2?accountid=12372
1561,2955240870,Reef bleaching shows our target 'too weak',The Age,Climate action; Emissions; Climate change; Coral reefs; Marine conservation,left center,NONE,GOVERNMENTS_POLITICIANS_POLIT.ORGS,ANIMALS_NATURE_ENVIRONMENT,VICTIM,PREVENT_CONFLICT,HIERARCHICAL,ENDANGERED_SPECIES,https://www.proquest.com/newspapers/reef-bleaching-shows-our-target-too-weak/docview/2955240870/se-2?accountid=12372
1579,2954424859,Bowen mocks Coalition's 10-year plan:   Nuclear Energy,Sydney Morning Herald,Nuclear energy; Coal-fired power plants; Industrial plant emissions; Nuclear power plants; Energy policy,left center,NONE,INDUSTRY_EMISSIONS,NONE,VILLAIN,PREVENT_RESOLUTION,HIERARCHICAL,ANTI-FOSSIL,https://www.proquest.com/newspapers/bowen-mocks-coalitions-10-year-plan/docview/2954424859/se-2?accountid=12372
1597,3070027169,Victorian Energy Minister Lily D’Ambrosio slammed for ‘hysterical misinformation’ on nuclear,Herald Sun,Nuclear energy; Farmers; Nuclear reactors; Councils; Renewable resources; Community; State elections; False information; Alternative energy sources; Energy resources; Coal-fired power plants; Poisons; Nuclear power plants,right center,INDUSTRY_EMISSIONS,GOVERNMENTS_POLITICIANS_POLIT.ORGS,GENERAL_PUBLIC,VILLAIN,PREVENT_RESOLUTION,INDIVIDUALISTIC,DEBATE_AND_SCAM,"Author: Douglas, Carly; Gailberger, Jade; Colantuono, Jack"
1619,2913733439,Forecast of stormy weather ahead for politically correct BOM,Herald Sun,Climate change,right center,NONE,SCIENCE_EXPERTS_SCI.REPORTS,GENERAL_PUBLIC,VILLAIN,PREVENT_RESOLUTION,INDIVIDUALISTIC,DEBATE_AND_SCAM,https://www.proquest.com/newspapers/forecast-stormy-weather-ahead-politically-correct/docview/2913733439/se-2?accountid=12372
1624,3098003687,Andrew Bolt: Why Bowen is the dreamer whose help we don’t need,Herald Sun,Global warming; Green hydrogen; Nuclear reactors; Electricity; Climate change; Renewable resources,right center,NONE,GOVERNMENTS_POLITICIANS_POLIT.ORGS,GENERAL_PUBLIC,VILLAIN,PREVENT_RESOLUTION,INDIVIDUALISTIC,DEBATE_AND_SCAM,"Author: Bolt, Andrew"
1656,2986368460,Nation must seize the green steel opportunity,The Australian,Green hydrogen; Energy; Energy transition; Emissions; Iron compounds; Carbon; Coal; Renewable resources; Steel production; Environmental tax,right center,GREEN_TECHNOLOGY_INNOVATION,NONE,NONE,HERO,FUEL_RESOLUTION,EGALITARIAN,TECHNOLOGICAL_OPTIMISM,https://www.proquest.com/newspapers/nation-must-seize-green-steel-opportunity/docview/2986368460/se-2?accountid=12372
1675,3015096974,EV love affair set to crash … and burn,The Weekend Australian,Gasoline; Consumers; Infrastructure; Costs; Emissions; Electric vehicles; Price cuts; Political campaigns; Manufacturers; Energy; Voters; Automobile dealers,right center,NONE,GREEN_TECHNOLOGY_INNOVATION,GENERAL_PUBLIC,VILLAIN,PREVENT_RESOLUTION,INDIVIDUALISTIC,CLIMATE_SOLUTIONS_WONT_WORK,https://www.proquest.com/newspapers/ev-love-affair-set-crash-burn/docview/3015096974/se-2?accountid=12372
1711,3129230196,Ex-Green pushes nuclear,The Courier,Nuclear energy; Climate change,right center,INDUSTRY_EMISSIONS,GOVERNMENTS_POLITICIANS_POLIT.ORGS,CLIMATE_CHANGE,HERO,PREVENT_RESOLUTION,INDIVIDUALISTIC,FOSSIL_FUEL_SOLUTIOINISM,https://www.proquest.com/newspapers/ex-green-pushes-nuclear/docview/3129230196/se-2?accountid=12372
1718,2953520784,Unprecedented’ mass coral bleaching event on Great Barrier Reef,The Courier,Climate change; Marine conservation,right center,SCIENCE_EXPERTS_SCI.REPORTS,CLIMATE_CHANGE,ANIMALS_NATURE_ENVIRONMENT,VICTIM,PREVENT_CONFLICT,HIERARCHICAL,ENDANGERED_SPECIES,"Author: Bennett, Stephanie"
1741,3131833734,"COP message clear: nuclear is inevitable, so what’s our problem?",The Australian,Nuclear energy; Climate change,right center,INDUSTRY_EMISSIONS,GOVERNMENTS_POLITICIANS_POLIT.ORGS,GENERAL_PUBLIC,HERO,PREVENT_RESOLUTION,INDIVIDUALISTIC,FOSSIL_FUEL_SOLUTIOINISM,"Author: Talacko, Cristina"
1756,3085984540,Governments need to clear runway for critical new gas supply,The Australian Financial Review,Oil reserves; Energy shortages; Manufacturing; Energy transition; Energy industry; Regulatory approval; Liquefied natural gas; Investors; Natural gas reserves; Government,right center,NONE,GOVERNMENTS_POLITICIANS_POLIT.ORGS,INDUSTRY_EMISSIONS,VILLAIN,PREVENT_RESOLUTION,INDIVIDUALISTIC,DEBATE_AND_SCAM,https://www.proquest.com/newspapers/governments-need-clear-runway-critical-new-gas/docview/3085984540/se-2?accountid=12372
1779,2924041577,"Carbon focus, outside capital for billionaire",The Weekend Australian,Climate change; Renewable resources; Portfolio management; Equity stake,right center,GENERAL_PUBLIC,CLIMATE_CHANGE,NONE,HERO,FUEL_RESOLUTION,INDIVIDUALISTIC,EVERY_LITTLE_HELPS,https://www.proquest.com/newspapers/carbon-focus-outside-capital-billionaire/docview/2924041577/se-2?accountid=12372
